timestamp,model,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,identity_accuracy,n_train,n_test,notes
2026-09-24T03:27:29.292044+00:00,oc_svm,session_disjoint_5fold,fold3,0.49946276084374824,0.5005369363035341,0.5016328963724433,0.5517241379310345,0.5336538461538461,29,0.43760359933696424,0.5822065150583897,,142674,35366,session-disjoint 5-fold (all folds)
2026-09-24T03:27:40.319919+00:00,oc_svm,session_disjoint_5fold,fold4,0.4551343705799151,0.5448902753875682,0.44483184827880673,0.375,0.4246031746031746,32,0.48745910577971646,0.5923099940155595,,142690,35350,session-disjoint 5-fold (all folds)
2026-09-24T03:28:44.024451+00:00,binary_svc,open_set_loo_stranger,abdul,0.8806129590746675,0.1193795231530837,0.9493691140456091,0.8333333333333334,0.828125,24,0.9525316455696202,0.06097560975609756,,150893,27147,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:29:52.289692+00:00,binary_svc,open_set_loo_stranger,divya,0.7680057690574201,0.2319934236155942,0.8533071203453653,0.7419354838709677,0.8708333333333333,31,0.5308897428318061,0.007760532150776054,,144759,33281,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:30:59.944794+00:00,binary_svc,open_set_loo_stranger,harshitha,0.8274089260369027,0.17259425081540336,0.9030228884134784,0.8571428571428571,0.8697916666666667,28,0.448747591522158,0.013747228381374724,,146335,31705,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:32:06.251018+00:00,binary_svc,open_set_loo_stranger,kishore,0.8927476262607603,0.10726136964450592,0.9604277838561003,0.8333333333333334,0.9453125,24,0.9420289855072463,0.05620842572062084,,150973,27067,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:33:10.092717+00:00,binary_svc,open_set_loo_stranger,manas,0.8590523799174092,0.1409450865611772,0.9366114946613314,0.7692307692307693,0.81875,26,0.842346471127406,0.05609756097560976,,150434,27606,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:34:14.445740+00:00,binary_svc,open_set_loo_stranger,promoda,0.7503739405019112,0.24961724001025143,0.8141123765986923,0.875,0.7578125,24,0.8624649859943978,0.006984478935698448,,147955,30085,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:35:18.470637+00:00,binary_svc,open_set_loo_stranger,siva,0.8905023403235912,0.10948977447740826,0.9542611202287602,0.8333333333333334,0.859375,24,0.8624595469255664,0.05787139689578714,,150907,27133,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:36:27.144106+00:00,binary_svc,open_set_loo_stranger,sumanth,0.7721183180793209,0.2278793907266632,0.8461537692322261,0.8214285714285714,0.7604166666666667,28,0.7789068937105191,0.005432372505543237,,147884,30156,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:37:37.670815+00:00,binary_svc,open_set_loo_stranger,vishwa,0.8195565512469937,0.18044198660230945,0.9086527755346938,0.875,0.9765625,24,0.5216258467952058,0.0352549889135255,,147687,30353,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:38:23.771128+00:00,binary_svc,cross_day_loo,2026-09-15,0.7040941973218409,0.295906724323603,0.7842330476835526,0.7058823529411765,0.7892857142857144,34,0.6452156334231806,0.009392265193370166,,165046,12994,leave-one-day-out (cross-day generalization)
2026-09-24T03:39:18.640831+00:00,binary_svc,cross_day_loo,2026-09-16,0.8489982247020036,0.1499426188158408,0.9112010877016348,0.8148148148148148,0.8833333333333333,27,0.5958640028040659,0.011326860841423949,,158325,19715,leave-one-day-out (cross-day generalization)
2026-09-24T03:40:13.457965+00:00,binary_svc,cross_day_loo,2026-09-17,0.7734284440481498,0.22653067130682492,0.8453163141543754,0.65,0.6900000000000001,20,0.728463476070529,0.07137291569269129,,166825,11215,leave-one-day-out (cross-day generalization)
2026-09-24T03:41:35.981448+00:00,binary_svc,cross_day_loo,2026-09-21,0.617324052590874,0.3826650523519823,0.6465520507005744,0.75,0.7708333333333334,20,0.6479960578186597,0.14638783269961977,,132785,45255,leave-one-day-out (cross-day generalization)
2026-09-24T03:44:29.298850+00:00,binary_svc,cross_day_loo,2026-09-22,0.7634620362138621,0.2365430388958324,0.8299664208384111,0.7619047619047619,0.8148148148148148,21,0.6330389870043319,0.13211810125471615,,89179,88861,leave-one-day-out (cross-day generalization)
2026-09-24T03:46:03.534353+00:00,binary_svc,session_disjoint_5fold,fold0,0.0,nan,nan,0.0,nan,1,,1.0,,141488,36552,session-disjoint 5-fold (all folds)
2026-09-24T03:47:18.617476+00:00,binary_svc,session_disjoint_5fold,fold1,0.8013615434592243,0.19869936495930027,0.8764941351535886,0.7096774193548387,0.775,31,0.6923732424371538,0.016616072855088673,,142639,35401,session-disjoint 5-fold (all folds)
2026-09-24T03:48:30.663766+00:00,binary_svc,session_disjoint_5fold,fold2,0.7788018433179723,0.22119672846529712,0.8609573644926558,0.8275862068965517,0.8714285714285714,29,0.480981256890849,0.00824579238676155,,142669,35371,session-disjoint 5-fold (all folds)
2026-09-24T03:49:38.368878+00:00,binary_svc,session_disjoint_5fold,fold3,0.714612905050048,0.2853899682587907,0.7958634908107117,0.7241379310344828,0.7355769230769231,29,0.4883968742600047,0.02197295636140135,,142674,35366,session-disjoint 5-fold (all folds)
2026-09-24T03:50:49.983555+00:00,binary_svc,session_disjoint_5fold,fold4,0.7415275813295615,0.258477379328745,0.7987503734990284,0.8125,0.7976190476190477,32,0.5076335877862596,0.05341113105924596,,142690,35350,session-disjoint 5-fold (all folds)
2026-09-24T03:52:28.289450+00:00,gmm_svm_wii,open_set_loo_stranger,abdul,0.464729067668619,0.5352840525035452,0.5107098209458223,0.2916666666666667,0.5234375,24,0.08386075949367089,0.5669623059866963,0.6523006573306659,150893,27147,"leave-one-unauthorized-person-out, includes none"
