accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,feature,labels,granularity
0.5384615384615384,0.5,0.5384615384615384,1.0,0.7,"[[0, 6], [0, 7]]",2026-09-16,random_forest,doppler,shuffled_5,session
0.7454128440366973,0.5,0.7454128440366973,1.0,0.8541392904073587,"[[0, 111], [0, 325]]",2026-09-17,svm,doppler,shuffled_5,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-17,svm,doppler,shuffled_5,session
0.3761467889908257,0.4243381843381843,0.6666666666666666,0.3261538461538461,0.4380165289256198,"[[58, 53], [219, 106]]",2026-09-17,random_forest,doppler,shuffled_5,window
0.125,0.25,0.0,0.0,0.0,"[[1, 1], [6, 0]]",2026-09-17,random_forest,doppler,shuffled_5,session
0.871875,0.4982142857142857,0.8746081504702194,0.9964285714285714,0.9315525876460768,"[[0, 80], [2, 558]]",2026-09-21,svm,doppler,shuffled_5,window
0.875,0.5,0.875,1.0,0.9333333333333333,"[[0, 1], [0, 7]]",2026-09-21,svm,doppler,shuffled_5,session
0.2734375,0.42410714285714285,0.8064516129032258,0.22321428571428573,0.34965034965034963,"[[50, 30], [435, 125]]",2026-09-21,random_forest,doppler,shuffled_5,window
0.125,0.5,0.0,0.0,0.0,"[[1, 0], [7, 0]]",2026-09-21,random_forest,doppler,shuffled_5,session
0.70125,0.5020833333333333,0.7008760951188986,1.0,0.8241353936718175,"[[1, 239], [0, 560]]",2026-09-22,svm,doppler,shuffled_5,window
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 3], [0, 7]]",2026-09-22,svm,doppler,shuffled_5,session
0.575,0.48809523809523814,0.6929824561403509,0.7053571428571429,0.6991150442477876,"[[65, 175], [165, 395]]",2026-09-22,random_forest,doppler,shuffled_5,window
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 3], [0, 7]]",2026-09-22,random_forest,doppler,shuffled_5,session
0.5384615384615384,0.5,0.5384615384615384,1.0,0.7,"[[0, 480], [0, 560]]",2026-09-24,svm,doppler,shuffled_5,window
0.5384615384615384,0.5,0.5384615384615384,1.0,0.7,"[[0, 6], [0, 7]]",2026-09-24,svm,doppler,shuffled_5,session
0.5307692307692308,0.4953869047619048,0.5360721442885772,0.9553571428571429,0.686777920410783,"[[17, 463], [25, 535]]",2026-09-24,random_forest,doppler,shuffled_5,window
0.5384615384615384,0.5,0.5384615384615384,1.0,0.7,"[[0, 6], [0, 7]]",2026-09-24,random_forest,doppler,shuffled_5,session
0.6744659206510681,0.5008083521870287,0.6748216106014271,0.9984917043740573,0.805352798053528,"[[1, 319], [1, 662]]",2026-09-15,svm,doppler,shuffled_6,window
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,"[[0, 4], [0, 10]]",2026-09-15,svm,doppler,shuffled_6,session
0.6225839267548321,0.4704303355957768,0.6604395604395604,0.9064856711915535,0.7641449459631278,"[[11, 309], [62, 601]]",2026-09-15,random_forest,doppler,shuffled_6,window
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,"[[0, 4], [0, 10]]",2026-09-15,random_forest,doppler,shuffled_6,session
0.906951871657754,0.5072368421052631,0.9155844155844156,0.9894736842105263,0.9510961214165261,"[[2, 78], [9, 846]]",2026-09-16,svm,doppler,shuffled_6,window
0.9230769230769231,0.5,0.9230769230769231,1.0,0.96,"[[0, 1], [0, 12]]",2026-09-16,svm,doppler,shuffled_6,session
0.27593582887700535,0.5587719298245615,0.9587628865979382,0.21754385964912282,0.3546234509056244,"[[72, 8], [669, 186]]",2026-09-16,random_forest,doppler,shuffled_6,window
0.15384615384615385,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,"[[1, 0], [11, 1]]",2026-09-16,random_forest,doppler,shuffled_6,session
0.39908256880733944,0.5,0.39908256880733944,1.0,0.5704918032786885,"[[0, 262], [0, 174]]",2026-09-17,svm,doppler,shuffled_6,window
0.375,0.5,0.375,1.0,0.5454545454545454,"[[0, 5], [0, 3]]",2026-09-17,svm,doppler,shuffled_6,session
0.40825688073394495,0.5076335877862596,0.4027777777777778,1.0,0.5742574257425742,"[[4, 258], [0, 174]]",2026-09-17,random_forest,doppler,shuffled_6,window
0.375,0.5,0.375,1.0,0.5454545454545454,"[[0, 5], [0, 3]]",2026-09-17,random_forest,doppler,shuffled_6,session
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 320], [0, 320]]",2026-09-21,svm,doppler,shuffled_6,window
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 4], [0, 4]]",2026-09-21,svm,doppler,shuffled_6,session
0.5015625,0.5015625,0.5045045045045045,0.175,0.25986078886310904,"[[265, 55], [264, 56]]",2026-09-21,random_forest,doppler,shuffled_6,window
0.5,0.5,0.0,0.0,0.0,"[[4, 0], [4, 0]]",2026-09-21,random_forest,doppler,shuffled_6,session
0.6175,0.47916666666666663,0.6895522388059702,0.825,0.751219512195122,"[[32, 208], [98, 462]]",2026-09-22,svm,doppler,shuffled_6,window
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 3], [0, 7]]",2026-09-22,svm,doppler,shuffled_6,session
0.3175,0.4755952380952381,0.5921052631578947,0.08035714285714286,0.14150943396226415,"[[209, 31], [515, 45]]",2026-09-22,random_forest,doppler,shuffled_6,window
0.3,0.5,0.0,0.0,0.0,"[[3, 0], [7, 0]]",2026-09-22,random_forest,doppler,shuffled_6,session
0.6038461538461538,0.5084375,0.6197478991596639,0.921875,0.7412060301507538,"[[38, 362], [50, 590]]",2026-09-24,svm,doppler,shuffled_6,window
0.6153846153846154,0.5,0.6153846153846154,1.0,0.7619047619047619,"[[0, 5], [0, 8]]",2026-09-24,svm,doppler,shuffled_6,session
