accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels
0.6583333333333333,0.49270833333333336,0.796976241900648,0.76875,0.782608695652174,"[[26, 94], [111, 369]]",2026-09-22,svm,600,shuffled_2
0.69,0.48125,0.7928286852589641,0.8291666666666667,0.8105906313645621,"[[16, 104], [82, 398]]",2026-09-22,random_forest,600,shuffled_2
0.335,0.384375,0.69377990430622,0.3020833333333333,0.420899854862119,"[[56, 64], [335, 145]]",2026-09-22,cnn_lstm,600,shuffled_2
0.6128205128205129,0.5260416666666666,0.6293604651162791,0.9020833333333333,0.7414383561643836,"[[45, 255], [47, 433]]",2026-09-24,svm,780,shuffled_2
0.6076923076923076,0.496875,0.6138743455497382,0.9770833333333333,0.7540192926045016,"[[5, 295], [11, 469]]",2026-09-24,random_forest,780,shuffled_2
0.6128205128205129,0.5016666666666666,0.6161879895561357,0.9833333333333333,0.7576243980738363,"[[6, 294], [8, 472]]",2026-09-24,cnn_lstm,780,shuffled_2
0.7142857142857143,0.5125,0.7195121951219512,0.9833333333333333,0.8309859154929577,"[[10, 230], [10, 590]]",2026-09-15,svm,840,shuffled_3
0.7035714285714286,0.50125,0.7148102815177478,0.9733333333333334,0.8242766407904023,"[[7, 233], [16, 584]]",2026-09-15,random_forest,840,shuffled_3
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,"[[0, 240], [0, 600]]",2026-09-15,cnn_lstm,840,shuffled_3
0.717948717948718,0.48027777777777775,0.7617079889807162,0.9216666666666666,0.8340874811463047,"[[7, 173], [47, 553]]",2026-09-16,svm,780,shuffled_3
0.7461538461538462,0.49083333333333334,0.7658730158730159,0.965,0.8539823008849557,"[[3, 177], [21, 579]]",2026-09-16,random_forest,780,shuffled_3
0.7564102564102564,0.49750000000000005,0.768324607329843,0.9783333333333334,0.8607038123167156,"[[3, 177], [13, 587]]",2026-09-16,cnn_lstm,780,shuffled_3
0.5145833333333333,0.5319444444444444,0.7748917748917749,0.49722222222222223,0.6057529610829103,"[[68, 52], [181, 179]]",2026-09-17,svm,480,shuffled_3
0.5395833333333333,0.5013888888888889,0.7509025270758123,0.5777777777777777,0.6530612244897959,"[[51, 69], [152, 208]]",2026-09-17,random_forest,480,shuffled_3
0.41875,0.5263888888888889,0.7832167832167832,0.3111111111111111,0.44532803180914515,"[[89, 31], [248, 112]]",2026-09-17,cnn_lstm,480,shuffled_3
0.46458333333333335,0.5375,0.2724252491694352,0.6833333333333333,0.38954869358669836,"[[141, 219], [38, 82]]",2026-09-21,svm,480,shuffled_3
0.43333333333333335,0.5,0.25,0.6333333333333333,0.3584905660377358,"[[132, 228], [44, 76]]",2026-09-21,random_forest,480,shuffled_3
0.4041666666666667,0.5111111111111111,0.25588235294117645,0.725,0.3782608695652174,"[[107, 253], [33, 87]]",2026-09-21,cnn_lstm,480,shuffled_3
0.3516666666666667,0.5146825396825397,0.7627118644067796,0.10714285714285714,0.18789144050104384,"[[166, 14], [375, 45]]",2026-09-22,svm,600,shuffled_3
0.33666666666666667,0.5150793650793651,0.8055555555555556,0.06904761904761905,0.12719298245614036,"[[173, 7], [391, 29]]",2026-09-22,random_forest,600,shuffled_3
0.325,0.5115079365079365,0.8260869565217391,0.04523809523809524,0.08577878103837472,"[[176, 4], [401, 19]]",2026-09-22,cnn_lstm,600,shuffled_3
0.3717948717948718,0.5300925925925926,0.8205128205128205,0.11851851851851852,0.20711974110032363,"[[226, 14], [476, 64]]",2026-09-24,svm,780,shuffled_3
0.3576923076923077,0.5256944444444445,0.8421052631578947,0.08888888888888889,0.16080402010050251,"[[231, 9], [492, 48]]",2026-09-24,random_forest,780,shuffled_3
0.3294871794871795,0.499537037037037,0.6888888888888889,0.05740740740740741,0.10598290598290598,"[[226, 14], [509, 31]]",2026-09-24,cnn_lstm,780,shuffled_3
0.7107142857142857,0.5027777777777778,0.7867950481430537,0.8666666666666667,0.8248017303532804,"[[25, 155], [88, 572]]",2026-09-15,svm,840,shuffled_4
0.7416666666666667,0.4941919191919192,0.7836107554417413,0.9272727272727272,0.84941013185288,"[[11, 169], [48, 612]]",2026-09-15,random_forest,840,shuffled_4
0.575,0.48712121212121207,0.7790055248618785,0.6409090909090909,0.7032418952618454,"[[60, 120], [237, 423]]",2026-09-15,cnn_lstm,840,shuffled_4
0.7525641025641026,0.4988888888888889,0.7688243064729194,0.97,0.8577745025792188,"[[5, 175], [18, 582]]",2026-09-16,svm,780,shuffled_4
0.7666666666666667,0.5002777777777778,0.7693298969072165,0.995,0.8677325581395349,"[[1, 179], [3, 597]]",2026-09-16,random_forest,780,shuffled_4
0.7666666666666667,0.49833333333333335,0.7686375321336761,0.9966666666666667,0.8679245283018868,"[[0, 180], [2, 598]]",2026-09-16,cnn_lstm,780,shuffled_4
0.6229166666666667,0.49833333333333335,0.6242171189979123,0.9966666666666667,0.7676508344030809,"[[0, 180], [1, 299]]",2026-09-17,svm,480,shuffled_4
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 180], [0, 300]]",2026-09-17,random_forest,480,shuffled_4
0.61875,0.495,0.6226415094339622,0.99,0.7644787644787645,"[[0, 180], [3, 297]]",2026-09-17,cnn_lstm,480,shuffled_4
0.18958333333333333,0.5154761904761904,0.918918918918919,0.08095238095238096,0.1487964989059081,"[[57, 3], [386, 34]]",2026-09-21,svm,480,shuffled_4
0.22916666666666666,0.5166666666666667,0.9032258064516129,0.13333333333333333,0.23236514522821577,"[[54, 6], [364, 56]]",2026-09-21,random_forest,480,shuffled_4
0.13541666666666666,0.4630952380952381,0.6470588235294118,0.02619047619047619,0.05034324942791762,"[[54, 6], [409, 11]]",2026-09-21,cnn_lstm,480,shuffled_4
0.5016666666666667,0.5016666666666667,0.5014492753623189,0.5766666666666667,0.5364341085271318,"[[128, 172], [127, 173]]",2026-09-22,svm,600,shuffled_4
0.5333333333333333,0.5333333333333333,0.527027027027027,0.65,0.582089552238806,"[[125, 175], [105, 195]]",2026-09-22,random_forest,600,shuffled_4
0.5133333333333333,0.5133333333333333,0.5588235294117647,0.12666666666666668,0.20652173913043478,"[[270, 30], [262, 38]]",2026-09-22,cnn_lstm,600,shuffled_4
0.5153846153846153,0.5037698412698413,0.46691176470588236,0.3527777777777778,0.40189873417721517,"[[275, 145], [233, 127]]",2026-09-24,svm,780,shuffled_4
0.5064102564102564,0.4976190476190476,0.4584717607973422,0.38333333333333336,0.4175491679273828,"[[257, 163], [222, 138]]",2026-09-24,random_forest,780,shuffled_4
0.5371794871794872,0.5013888888888889,0.48148148148148145,0.03611111111111111,0.06718346253229975,"[[406, 14], [347, 13]]",2026-09-24,cnn_lstm,780,shuffled_4
