accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.4625,0.4625,0.46017699115044247,0.43333333333333335,0.44635193133047213,"[[118, 122], [136, 104]]",2026-09-24,svm,480,shuffled_1,window
0.5,0.5,0.5,0.25,0.3333333333333333,"[[3, 1], [3, 1]]",2026-09-24,svm,8,shuffled_1,session
0.45416666666666666,0.4541666666666667,0.44660194174757284,0.38333333333333336,0.4125560538116592,"[[126, 114], [148, 92]]",2026-09-24,random_forest,480,shuffled_1,window
0.5,0.5,0.5,0.25,0.3333333333333333,"[[3, 1], [3, 1]]",2026-09-24,random_forest,8,shuffled_1,session
0.4625,0.4625,0.4262295081967213,0.21666666666666667,0.287292817679558,"[[170, 70], [188, 52]]",2026-09-24,cnn_lstm,480,shuffled_1,window
0.375,0.375,0.0,0.0,0.0,"[[3, 1], [4, 0]]",2026-09-24,cnn_lstm,8,shuffled_1,session
0.34814814814814815,0.4041666666666667,0.2724867724867725,0.5722222222222222,0.36917562724014336,"[[85, 275], [77, 103]]",2026-09-15,svm,540,shuffled_2,window
0.2222222222222222,0.3333333333333333,0.25,0.6666666666666666,0.36363636363636365,"[[0, 6], [1, 2]]",2026-09-15,svm,9,shuffled_2,session
0.42407407407407405,0.4444444444444444,0.29073482428115016,0.5055555555555555,0.3691683569979716,"[[138, 222], [89, 91]]",2026-09-15,random_forest,540,shuffled_2,window
0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.25,"[[2, 4], [2, 1]]",2026-09-15,random_forest,9,shuffled_2,session
0.48703703703703705,0.44861111111111107,0.2764976958525346,0.3333333333333333,0.3022670025188917,"[[203, 157], [120, 60]]",2026-09-15,cnn_lstm,540,shuffled_2,window
0.4444444444444444,0.41666666666666663,0.25,0.3333333333333333,0.2857142857142857,"[[3, 3], [2, 1]]",2026-09-15,cnn_lstm,9,shuffled_2,session
0.5074074074074074,0.47125,0.3645833333333333,0.14583333333333334,0.20833333333333334,"[[239, 61], [205, 35]]",2026-09-16,svm,540,shuffled_2,window
0.5555555555555556,0.5,0.0,0.0,0.0,"[[5, 0], [4, 0]]",2026-09-16,svm,9,shuffled_2,session
0.5425925925925926,0.5045833333333334,0.4588235294117647,0.1625,0.24,"[[254, 46], [201, 39]]",2026-09-16,random_forest,540,shuffled_2,window
0.5555555555555556,0.5,0.0,0.0,0.0,"[[5, 0], [4, 0]]",2026-09-16,random_forest,9,shuffled_2,session
0.5277777777777778,0.50875,0.4576271186440678,0.3375,0.38848920863309355,"[[204, 96], [159, 81]]",2026-09-16,cnn_lstm,540,shuffled_2,window
0.5555555555555556,0.5,0.0,0.0,0.0,"[[5, 0], [4, 0]]",2026-09-16,cnn_lstm,9,shuffled_2,session
0.32666666666666666,0.4,0.17647058823529413,0.03333333333333333,0.056074766355140186,"[[92, 28], [174, 6]]",2026-09-17,svm,300,shuffled_2,window
0.4,0.5,0.0,0.0,0.0,"[[2, 0], [3, 0]]",2026-09-17,svm,5,shuffled_2,session
0.37666666666666665,0.43333333333333335,0.4426229508196721,0.15,0.22406639004149378,"[[86, 34], [153, 27]]",2026-09-17,random_forest,300,shuffled_2,window
0.4,0.5,0.0,0.0,0.0,"[[2, 0], [3, 0]]",2026-09-17,random_forest,5,shuffled_2,session
0.36333333333333334,0.45416666666666666,0.0,0.0,0.0,"[[109, 11], [180, 0]]",2026-09-17,cnn_lstm,300,shuffled_2,window
0.4,0.5,0.0,0.0,0.0,"[[2, 0], [3, 0]]",2026-09-17,cnn_lstm,5,shuffled_2,session
0.6361111111111111,0.6104166666666666,0.746606334841629,0.6875,0.7158351409978309,"[[64, 56], [75, 165]]",2026-09-21,svm,360,shuffled_2,window
0.8333333333333334,0.75,0.8,1.0,0.8888888888888888,"[[1, 1], [0, 4]]",2026-09-21,svm,6,shuffled_2,session
0.6055555555555555,0.5270833333333333,0.6828358208955224,0.7625,0.7204724409448819,"[[35, 85], [57, 183]]",2026-09-21,random_forest,360,shuffled_2,window
0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,"[[0, 2], [0, 4]]",2026-09-21,random_forest,6,shuffled_2,session
0.6694444444444444,0.6270833333333333,0.7510373443983402,0.7541666666666667,0.7525987525987526,"[[60, 60], [59, 181]]",2026-09-21,cnn_lstm,360,shuffled_2,window
0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,"[[0, 2], [0, 4]]",2026-09-21,cnn_lstm,6,shuffled_2,session
0.5642857142857143,0.5104166666666666,0.5772357723577236,0.8875,0.6995073891625616,"[[24, 156], [27, 213]]",2026-09-22,svm,420,shuffled_2,window
0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,"[[0, 3], [0, 4]]",2026-09-22,svm,7,shuffled_2,session
0.55,0.49374999999999997,0.568,0.8875,0.6926829268292682,"[[18, 162], [27, 213]]",2026-09-22,random_forest,420,shuffled_2,window
0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,"[[0, 3], [0, 4]]",2026-09-22,random_forest,7,shuffled_2,session
0.5595238095238095,0.4909722222222222,0.5669099756690997,0.9708333333333333,0.7158218125960062,"[[2, 178], [7, 233]]",2026-09-22,cnn_lstm,420,shuffled_2,window
0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,"[[0, 3], [0, 4]]",2026-09-22,cnn_lstm,7,shuffled_2,session
0.4875,0.4875,0.49162011173184356,0.7333333333333333,0.5886287625418061,"[[58, 182], [64, 176]]",2026-09-24,svm,480,shuffled_2,window
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 4], [0, 4]]",2026-09-24,svm,8,shuffled_2,session
0.4583333333333333,0.45833333333333337,0.46835443037974683,0.6166666666666667,0.5323741007194245,"[[72, 168], [92, 148]]",2026-09-24,random_forest,480,shuffled_2,window
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 4], [0, 4]]",2026-09-24,random_forest,8,shuffled_2,session
0.5083333333333333,0.5083333333333333,0.5043290043290043,0.9708333333333333,0.6638176638176638,"[[11, 229], [7, 233]]",2026-09-24,cnn_lstm,480,shuffled_2,window
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 4], [0, 4]]",2026-09-24,cnn_lstm,8,shuffled_2,session
0.55,0.5116666666666667,0.562363238512035,0.8566666666666667,0.678996036988111,"[[40, 200], [43, 257]]",2026-09-15,svm,540,shuffled_3,window
0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,"[[0, 4], [0, 5]]",2026-09-15,svm,9,shuffled_3,session
0.5351851851851852,0.4945833333333333,0.5524625267665952,0.86,0.6727509778357236,"[[31, 209], [42, 258]]",2026-09-15,random_forest,540,shuffled_3,window
0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,"[[0, 4], [0, 5]]",2026-09-15,random_forest,9,shuffled_3,session
0.5555555555555556,0.5108333333333334,0.5614754098360656,0.9133333333333333,0.6954314720812182,"[[26, 214], [26, 274]]",2026-09-15,cnn_lstm,540,shuffled_3,window
0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,"[[0, 4], [0, 5]]",2026-09-15,cnn_lstm,9,shuffled_3,session
0.5055555555555555,0.51125,0.5679012345679012,0.46,0.5082872928176796,"[[135, 105], [162, 138]]",2026-09-16,svm,540,shuffled_3,window
0.5555555555555556,0.575,0.6666666666666666,0.4,0.5,"[[3, 1], [3, 2]]",2026-09-16,svm,9,shuffled_3,session
0.5407407407407407,0.5254166666666666,0.5751445086705202,0.6633333333333333,0.6160990712074303,"[[93, 147], [101, 199]]",2026-09-16,random_forest,540,shuffled_3,window
0.6666666666666666,0.65,0.6666666666666666,0.8,0.7272727272727273,"[[2, 2], [1, 4]]",2026-09-16,random_forest,9,shuffled_3,session
0.5740740740740741,0.5495833333333333,0.5892857142857143,0.77,0.6676300578034682,"[[79, 161], [69, 231]]",2026-09-16,cnn_lstm,540,shuffled_3,window
0.6666666666666666,0.625,0.625,1.0,0.7692307692307693,"[[1, 3], [0, 5]]",2026-09-16,cnn_lstm,9,shuffled_3,session
0.5333333333333333,0.5277777777777778,0.42857142857142855,0.5,0.46153846153846156,"[[100, 80], [60, 60]]",2026-09-17,svm,300,shuffled_3,window
0.4,0.41666666666666663,0.3333333333333333,0.5,0.4,"[[1, 2], [1, 1]]",2026-09-17,svm,5,shuffled_3,session
0.5333333333333333,0.5166666666666666,0.41935483870967744,0.43333333333333335,0.4262295081967213,"[[108, 72], [68, 52]]",2026-09-17,random_forest,300,shuffled_3,window
0.6,0.5833333333333333,0.5,0.5,0.5,"[[2, 1], [1, 1]]",2026-09-17,random_forest,5,shuffled_3,session
0.45,0.5125,0.4074074074074074,0.825,0.5454545454545454,"[[36, 144], [21, 99]]",2026-09-17,cnn_lstm,300,shuffled_3,window
0.6,0.6666666666666666,0.5,1.0,0.6666666666666666,"[[1, 2], [0, 2]]",2026-09-17,cnn_lstm,5,shuffled_3,session
0.19722222222222222,0.4583333333333333,0.6896551724137931,0.06666666666666667,0.12158054711246201,"[[51, 9], [280, 20]]",2026-09-21,svm,360,shuffled_3,window
0.16666666666666666,0.5,0.0,0.0,0.0,"[[1, 0], [5, 0]]",2026-09-21,svm,6,shuffled_3,session
