timestamp,stage,task,preprocessing,model,split_type,fold,accuracy,eer,auroc,n_train,n_test,notes
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,sai,0.5770707624794296,0.3617303434978219,0.7071663215025352,7734,1823,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,siva,0.5669693530079455,0.40858510161494754,0.619076879085361,7795,1762,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,sumanth,0.531232725262576,0.4203161822466614,0.6362848952409984,7748,1809,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,vasu,0.4686123348017621,0.39855896441028354,0.6505297010151337,7741,1816,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,vishwa,0.5113573407202217,0.3538323420491527,0.7220274763893235,7752,1805,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,naive_random_LEAKY,0,0.8597592883307169,0.14389306872557095,0.9398799142902214,7646,1911,"leakage-prone, for comparison only"
2026-09-09T23:58:12.302437+00:00,2,taskB_identity,raw,dualbranch,session_disjoint_single_split,0,0.7433903576982893,,,4203,643,
2026-09-09T23:59:08.381927+00:00,2,task0_presence,raw,cnn1d,session_disjoint_single_split,0,0.5684244581041734,,,11843,3091,
2026-09-10T00:02:44.356638+00:00,2,task0_presence,raw,bilstm,session_disjoint_single_split,0,0.5758654157230669,,,11843,3091,
2026-09-10T00:04:48.327994+00:00,2,task0_presence,raw,whofi_transformer,session_disjoint_single_split,0,0.5706890973794888,,,11843,3091,
2026-09-10T00:08:27.116630+00:00,2,task0_presence,raw,dualbranch_transformer,session_disjoint_single_split,0,0.5771594953089615,,,11843,3091,
2026-09-10T00:15:03.164116+00:00,2,task0_presence,raw,crossattn_transformer,session_disjoint_single_split,0,0.578453574894856,,,11843,3091,
2026-09-10T00:18:47.647328+00:00,2,task0_presence,calibA_context,calib_context_transformer,session_disjoint_single_split,0,0.5755418958265933,,,11843,3091,
2026-09-10T00:19:02.173687+00:00,2,taskA_threeway,raw,cnn1d,session_disjoint_single_split,0,0.3778712390812035,,,11843,3091,
2026-09-10T00:21:17.982610+00:00,2,taskA_threeway,raw,bilstm,session_disjoint_single_split,0,0.404723390488515,,,11843,3091,
2026-09-10T00:23:14.687763+00:00,2,taskA_threeway,raw,whofi_transformer,session_disjoint_single_split,0,0.37657715949530896,,,11843,3091,
2026-09-10T00:26:56.863410+00:00,2,taskA_threeway,raw,dualbranch_transformer,session_disjoint_single_split,0,0.41572306696861855,,,11843,3091,
2026-09-10T00:34:00.939495+00:00,2,taskA_threeway,raw,crossattn_transformer,session_disjoint_single_split,0,0.3565189259139437,,,11843,3091,
2026-09-10T00:37:40.728092+00:00,2,taskA_threeway,calibA_context,calib_context_transformer,session_disjoint_single_split,0,0.30119702361695244,,,11843,3091,
2026-09-10T00:37:45.661932+00:00,2,taskB_identity,raw,cnn1d,session_disjoint_single_split,0,0.7713841368584758,,,4203,643,
2026-09-10T00:38:30.742053+00:00,2,taskB_identity,raw,bilstm,session_disjoint_single_split,0,0.8164852255054432,,,4203,643,
2026-09-10T00:39:13.475864+00:00,2,taskB_identity,raw,whofi_transformer,session_disjoint_single_split,0,0.6127527216174183,,,4203,643,
2026-09-10T00:40:44.693959+00:00,2,taskB_identity,raw,dualbranch_transformer,session_disjoint_single_split,0,0.8864696734059098,,,4203,643,
2026-09-10T00:43:12.955540+00:00,2,taskB_identity,raw,crossattn_transformer,session_disjoint_single_split,0,0.8211508553654744,,,4203,643,
2026-09-10T00:44:33.245015+00:00,2,taskB_identity,calibA_context,calib_context_transformer,session_disjoint_single_split,0,0.838258164852255,,,4203,643,
2026-09-10T00:48:53.183867+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,divya,,0.45542737440616465,0.5700632177458571,7759,1798,
2026-09-10T00:50:41.413585+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,harshitha,,0.49640020927788575,0.5079398944262423,7763,1794,
2026-09-10T00:52:44.886574+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,kishore,,0.4589712554306876,0.5750116228738157,7794,1763,
2026-09-10T00:54:30.331349+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,manas,,0.6039471813863015,0.35570418583772867,7759,1798,
2026-09-10T00:56:16.829356+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,sai,,0.5005891594658287,0.49035420981218303,7734,1823,
2026-09-10T00:58:02.803476+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,siva,,0.4393964950835104,0.6391002687563153,7795,1762,
